Year,LogSalePrice,SqftLot,SqftAbove,SqftBasement,SqftLawn,Floors,Bedrooms,Bathrooms,Kitchens,Condition,Grade,OnlineGrade,YearsSince1900Built
2014,12.56723749,4648,2240,0,48,2,4,2.5,1,3,7,6.8,105
2014,12.22587527,12070,1000,0,3450,1,3,1,0,4,7,7.7,68
2014,14.09692302,20158,1600,1600,10330,1,5,2.25,0,3,8,7.5,65
2014,13.85473127,50094,3070,1700,14661,1,5,3.25,0,4,11,9.5,73
2015,12.69158046,5612,1260,0,2778,1,3,2,0,4,7,7.9,72
2014,13.25514449,7807,2250,500,1462,1.5,4,2,1,5,7,8.8,16
2014,12.79385931,5000,2380,0,0,2,4,2.5,1,3,8,6.9,105
2015,12.7628272,50529,1090,700,16567,1,3,1.75,0,5,7,9,65
2014,13.6321885,35102,2390,1040,9693,2,4,4,1,4,10,8.7,86
2014,12.84792653,7300,880,880,1122,1,4,1.75,0,3,7,6.9,56
2015,13.08154138,5060,1040,0,538,1,3,1,0,3,7,7,41
2014,12.92391244,5060,910,500,1846,1,3,1,0,4,7,7.8,56
2015,13.48700649,39683,3450,0,10882,2,4,2.5,1,3,10,7.8,102
2014,12.87390202,5100,2350,0,660,2,3,2.5,1,3,8,7.4,103
2014,12.79385931,5889,1900,0,0,2,4,2.5,1,3,7,7,92
2014,12.77987307,6720,1010,1010,0,1,2,1,0,3,7,6.9,48
2015,12.78268601,8712,1680,0,2163,1,3,1.5,0,3,8,7.1,64
2014,12.66032792,6634,960,0,1852,1,3,1,0,3,6,6.9,52
2014,13.75363515,3600,1900,240,0,2,3,1.5,1,3,9,7.6,25
2014,12.62806706,8400,2660,0,4972,1.5,5,2.25,1,5,7,8.7,61
2014,13.04115332,6278,1980,790,501,2,3,3.25,1,3,9,8,106
2014,12.27839331,2040,1610,0,0,2,2,2.25,1,4,7,7.7,79
2014,12.72188581,1066,765,265,0,2,2,1.75,1,3,7,6.8,106
2014,12.40287222,7403,1980,0,1682,2,4,2.5,1,3,7,6.7,88
2015,13.91071164,6353,3520,0,2226,2,5,2.75,1,4,10,9.2,101
2015,11.9381932,10500,1200,0,43,1,3,1,0,3,7,6.9,62
2014,12.97154049,5000,1290,290,0,1,3,1.5,0,3,8,7.7,39
2014,13.45883561,5000,1290,290,0,1,3,1.5,0,3,8,7.3,39
2014,13.71569022,10250,2390,910,0,1,4,2.5,0,3,7,7.1,46
2015,12.41916586,15681,1960,0,2854,1,3,1.75,0,3,7,6.8,67
2014,12.2010601,6400,1160,0,0,1,4,1.5,0,4,7,7.8,75
2014,12.65714826,41800,1210,600,12184,1,3,1.75,0,5,7,8.7,80
2014,12.98883198,36847,2320,0,10146,2,3,2.5,1,3,9,7.5,92
2014,13.65396762,13241,1270,800,2023,1.5,3,2.5,1,5,9,9.7,10
2014,13.22672339,3478,1440,540,64,1.5,3,2,1,4,7,7.9,29
2014,13.45876418,107593,2190,0,34849,2,3,2.25,1,4,8,8.3,83
2014,13.89985171,8113,2920,0,0,2,3,2.5,1,3,8,7.4,50
2014,12.5776362,33919,1210,0,12567,1,3,1,0,3,7,7,54
2015,12.8346813,10005,1460,880,4203,1,3,2.5,0,4,8,8.2,78
2014,13.03898177,4005,1170,500,1839,1.5,3,1,1,4,7,7.9,39
2014,12.14685329,2493,1240,0,1093,1,2,1.75,0,4,8,8,85
2015,13.42984808,28037,3140,0,6205,2,4,2.5,1,4,10,9,91
2014,13.06048797,12342,2030,0,4097,2,5,1.75,1,4,7,8.3,42
2014,13.30092789,9624,2310,0,3240,2,4,2.5,1,3,8,7.4,84
2015,13.25339164,3328,700,560,3328,1,3,1.75,0,5,6,8.5,5
2014,12.51539389,12600,1160,380,5111,1,3,1.75,0,4,7,7.8,80
2014,12.70669641,5969,1080,1000,409,1,3,1.75,0,3,7,7,71
2014,13.08154138,16171,2520,710,4899,2,4,2.5,1,3,9,7.8,101
2014,13.51508091,6350,2780,1600,3237,2,3,3.5,1,3,8,7.1,0
2014,13.15869531,1102,1590,0,0,3,3,3.5,2,3,8,7.2,110
2014,12.23283628,6780,880,0,3403,1,2,1,0,4,6,7.6,45
2015,12.05408629,9600,1570,0,0,1,4,2,0,3,6,6.5,50
2015,13.19002203,2982,1610,0,210,1.5,4,1,1,4,7,7.8,25
2015,13.39999511,6474,1560,840,2202,1,3,2.5,0,3,8,7.3,64
2014,12.87774079,9132,1450,0,3644,1,3,2,0,3,7,6.8,87
2015,12.88664104,6000,770,0,3377,1,2,1,0,3,6,6.6,53
2014,13.00582956,4400,1720,380,899,1.5,4,1.75,1,5,7,8.9,24
2014,13.55414579,10204,2910,0,0,2,3,2.25,1,3,9,7.9,90
2015,14.18707411,17789,1980,770,4053,1.5,4,2.75,1,3,8,7.5,14
2014,13.00582956,8201,1620,480,463,1,3,2.25,0,3,8,7.2,67
2014,12.46843691,8811,1360,800,6520,1,4,2.25,0,3,8,7.5,78
2014,13.62010376,4960,1720,600,0,2,5,3.5,1,5,7,9,26
2015,12.97154049,4310,2070,0,1758,2,4,2.5,1,3,7,7.1,104
2015,12.26434155,7875,1060,0,640,1,3,1.75,0,4,7,7.7,86
2015,13.4007524,9603,1440,570,2238,1,4,2.25,0,3,8,7.4,86
2014,13.5721643,111078,2460,1490,35696,1.5,3,3.5,1,3,9,8,89
2014,13.0241903,2287,1390,620,0,2,3,2.5,1,3,8,7.7,114
2015,13.42246797,2278,2140,0,0,3,4,3.5,2,3,9,7.4,105
2014,12.2010601,17390,1320,0,5334,1,3,1.75,0,4,7,7.7,56
2014,12.30138283,7840,1010,1010,109,1,4,1.75,0,3,7,6.8,68
2014,13.02143746,10002,1340,1250,2837,1,4,2.25,0,4,8,8.3,68
2014,12.85448393,4440,1190,0,427,1,2,1,0,3,6,6.7,81
2014,13.16148793,1249,1170,0,0,3,3,2.25,2,3,8,7.3,114
2014,13.40754232,3200,1110,0,1849,1,2,1,0,3,7,7.1,25
2014,13.17628322,9375,1550,1270,2969,1,5,2.5,0,4,8,8.3,68
2015,12.23076526,8579,1010,600,1394,1,3,1,0,4,7,8,62
2015,12.94800999,8097,940,120,0,1,3,1,0,4,7,7.7,23
2015,13.12236338,8517,1380,650,2195,1,4,2.25,0,4,8,8.1,61
2014,13.73375806,315374,3670,0,103707,2,4,2.5,1,4,9,8.7,94
2014,13.69897674,4000,2370,180,566,2,4,1,1,3,8,7.6,5
2014,12.97154049,60984,2420,0,16287,2,2,2.5,1,3,7,7.2,107
2014,12.46071486,12500,1130,1130,3962,1,5,2,0,4,8,8.2,60
2014,13.14412487,3455,980,450,0,1,3,1,0,3,7,6.8,47
2014,13.18471827,3090,1360,0,0,2,3,2,1,3,8,7.3,90
2015,13.23569206,5000,1110,0,3584,1.5,3,1,1,3,7,7,47
2015,12.55302548,8200,1250,0,3932,1,3,1,0,4,7,7.9,54
2015,14.62644077,19850,3540,1640,2207,2,4,3.25,1,3,12,8.8,106
2014,12.76568843,5100,700,0,3086,1,1,1,0,3,7,7.2,42
2014,12.27839331,7669,1180,0,3359,1,3,1,0,4,7,7.5,67
2014,13.38472764,25245,2500,1460,7218,2,5,3.5,1,3,9,7.6,96
2014,12.67607627,7500,1620,1020,3438,1,4,2.75,0,3,8,7.1,67
2014,12.41714362,7198,1270,0,4067,1.5,3,2,1,3,7,6.9,16
2014,12.67607627,11180,1760,0,2280,1,4,1.75,0,4,8,8.2,68
2014,12.44901882,8632,1030,1030,4015,1,5,2.25,0,3,7,6.6,62
2015,12.98997419,9660,1780,0,3764,1,3,1.75,0,3,7,6.7,62
2015,13.71015004,16603,3400,0,4929,2,3,2.5,1,3,10,8,100
2014,12.99680015,7280,1160,750,1531,1,3,2.75,0,3,7,7.1,79
2014,12.94800999,38332,1010,1010,12411,1,3,2,0,4,7,7.9,75
2014,12.82125828,7000,1180,400,1234,1,3,1.75,0,3,7,7.2,76
2015,12.50599204,7250,700,640,3797,1,2,1.75,0,5,5,7.7,49
2015,13.60120286,4499,2680,0,0,2,4,2.5,1,3,9,7.7,99
2014,13.38933241,9750,1610,1070,4573,1,3,2.5,0,4,8,8.4,79
2014,12.82530414,8336,1370,0,2375,1,3,2,0,5,7,8.8,64
2015,12.55672952,21000,1560,0,3434,1,3,1.75,0,3,7,7,54
2015,12.51355735,7140,1670,490,1015,1,3,1.75,0,4,7,7.8,78
2014,12.65395847,7912,1340,0,1334,1.5,3,1.5,1,3,7,7.2,55
2015,13.72940786,35003,2570,1310,12069,2,4,2.5,1,3,10,8,84
2014,13.41950061,8190,2590,0,1384,2,4,2.25,1,4,8,8.3,80
2015,12.95984445,1100,820,300,1100,2,3,2.5,1,3,8,7.4,108
2014,12.89909482,5400,1320,650,0,1,5,2.75,0,3,7,6.9,86
2014,12.86099861,4800,1220,0,2654,1,3,1,0,3,6,6.9,1
2014,12.50599204,7560,1320,630,2423,1,3,1.5,0,4,7,7.9,75
2015,12.70684793,8220,1060,290,4986,1,2,1,0,3,7,6.9,49
2014,12.46843691,5797,1670,0,2599,2,3,2.5,1,3,7,6.7,88
2015,13.06048797,5125,1680,700,0,1.5,4,3,1,4,7,7.9,25
2014,13.28618146,9600,2440,0,0,2,4,3,1,5,7,9,61
2014,12.00456827,3419,1050,0,0,2,2,1.5,1,3,7,7,96
2014,13.635187,13412,2140,990,3838,2,4,2.75,1,3,9,7.8,93
2014,13.90626492,12850,2090,2000,2817,1,5,3,0,4,10,9,86
2015,12.50246666,10000,1100,390,6620,1,4,1.75,0,4,8,8.5,69
2014,13.23569206,8744,1900,0,1097,2,3,2.5,1,3,8,7,87
2015,13.32937755,2400,1330,0,2400,1.5,4,1,1,4,6,7.7,1
2014,13.27968844,10026,1430,800,233,1,3,2.25,0,3,8,7.1,75
2014,12.62806706,9480,1220,430,3109,1,3,1.75,0,3,7,7,77
2014,12.02544965,8820,1190,0,5382,1,3,1,0,3,6,6.4,59
2014,13.59111622,9897,2140,0,1151,1,3,2.5,0,4,8,8.4,59
2014,12.89921983,7508,1420,760,2726,1,3,2.5,0,4,7,7.8,62
2014,12.34583459,10228,1060,0,2603,1,3,1,0,3,7,7,48
2014,12.45637601,5025,1690,0,700,2,3,2.5,1,3,8,7.2,103
2014,12.95512746,6480,1130,840,0,1.5,4,2,1,5,7,8.8,20
2014,13.04979268,4084,2150,0,3109,2,3,2.5,1,3,8,7.5,107
2015,12.99453001,66211,1910,0,23880,2,3,2.5,1,3,7,6.9,97
2014,12.86099861,155073,1350,0,51447,1,3,1.75,0,4,7,7.9,69
2015,12.25486281,11725,860,0,4666,1,3,1,0,4,6,7.3,43
2014,12.60148742,14952,1940,0,6203,2,3,2.5,1,3,8,7.3,94
2014,13.06048797,5000,1010,0,0,1,3,1,0,3,7,7,52
2014,12.33050022,7370,900,400,5253,1,3,1.5,0,4,7,7.6,76
2015,12.52179538,8450,910,0,3718,1,3,1,0,4,6,7.4,62
2014,13.64115717,11010,1630,850,3335,1,4,1.75,0,4,9,8.9,66
2014,13.42675506,4587,2440,0,988,2,3,2.5,1,3,8,7.3,110
2015,12.95984445,5864,1010,0,1943,1,3,1,0,3,7,7.2,15
2014,12.10210006,9600,900,0,2868,1,2,0.75,0,3,6,6.5,41
2014,13.04763983,3404,1600,700,0,2,6,3,1,3,7,6.9,20
2015,12.67607627,7579,1550,0,452,2,4,2.25,1,3,8,7,93
2014,13.346313,1566,1060,210,0,2,3,2.25,1,3,8,7.5,114
2014,13.29210615,12032,2240,0,5144,1,4,2.5,0,3,9,7.9,83
2015,13.04979268,17936,2714,0,5005,2,3,2.5,1,3,9,7.5,105
2014,13.07527177,6270,1720,0,2298,2,4,2.75,1,3,8,7.5,78
2015,12.54254488,16400,850,0,5122,1,2,1,0,3,6,6.4,23
2015,14.22430346,33474,1870,1430,8772,1,5,3,0,3,9,7.5,57
2014,13.00771094,5692,2250,0,0,2,3,2.5,1,3,8,7.3,100
2014,13.88503662,14864,1950,1950,4719,1,2,2.25,0,3,8,7.4,47
2014,13.05408454,10800,1320,0,1676,1,2,1.5,0,4,8,8,47
2014,13.43863291,6440,2760,0,0,2,4,2.5,1,3,10,8,99
2014,12.54236629,9750,1350,400,2068,1,3,2,0,3,7,6.8,61
2014,13.17495583,19436,2330,0,6647,2,4,2.25,1,3,8,7.5,87
2014,12.69158046,16020,1780,440,3173,1,3,2.25,0,4,8,8.2,66
2014,12.70076889,8379,2020,0,618,2,3,2.25,1,3,7,6.6,94
2014,12.87390202,7500,1250,0,411,1,3,2.25,0,5,7,9.1,42
2015,13.08143721,6516,1510,0,23,1,2,2,0,3,8,7.2,105
2014,12.48729641,9753,1120,600,0,1,4,2.25,0,4,7,7.7,78
2015,12.36734079,15246,980,450,6238,1,3,1,0,4,7,7.9,61
2015,13.15483057,4729,1480,0,4622,2,3,2.5,1,3,7,7,104
2015,13.39239051,15798,1230,220,5309,2,2,1.75,1,3,7,7.1,15
2014,13.12236338,15347,2280,0,7157,1,4,2.75,0,5,7,8.4,60
2014,12.66032792,7350,1780,1160,0,1,6,2.75,0,3,8,7.3,78
2014,12.26904744,10200,1000,0,1296,1,2,1,0,3,6,6.6,61
2014,13.07107008,5280,1620,860,1323,1.5,3,1.5,1,5,7,8.8,47
2014,13.84020317,28040,3760,0,7756,2,5,4,1,3,10,8.1,83
2015,12.93844054,94300,1640,580,32832,1,3,2,0,5,7,8.9,76
2015,12.92391244,4740,1670,300,3009,1.5,4,1,1,3,7,7.2,4
2014,13.59236701,221284,3530,300,72089,2,3,3.5,1,3,10,7.8,93
2014,13.06473426,14034,2350,2060,2400,1,6,2.5,0,4,9,8.4,65
2014,12.32385568,8505,1430,0,3242,1,3,1.75,0,4,7,7.6,68
2014,12.25486281,6000,830,0,0,1,2,1,0,3,6,6.6,40
2015,13.0280527,5000,1430,0,3612,1.5,2,1,1,2,7,6.4,25
2015,12.32385568,8316,1300,0,1096,1,3,1,0,4,6,7.2,54
2014,13.08154138,3060,790,240,176,1,2,1,0,4,7,7.9,18
2015,12.80215811,11872,2740,0,3409,2,3,2.5,1,3,9,7.5,90
2014,14.6909793,8354,1830,1820,1279,1,4,2.5,0,3,9,8.1,100
2015,12.10625231,5120,720,0,0,1,2,1.5,0,3,6,6.5,54
2015,12.4292162,7312,2010,0,0,1,4,2,0,4,7,7.8,76
2015,13.08362255,3000,770,790,0,1,3,1.75,0,4,6,7.7,18
2014,12.46843691,7209,1240,570,809,1,3,2,0,4,7,8,78
2014,13.0280527,7685,3360,0,149,2,4,2.5,1,3,9,7.6,101
2015,12.9360338,36224,1510,0,14046,2,3,2.25,1,3,8,7.3,91
2015,12.76425884,3538,800,600,386,1,3,1,0,3,7,6.9,53
2014,12.40901349,7442,1730,0,0,2,3,2.5,1,3,7,6.8,87
2014,13.29210615,9191,1420,0,4057,1.5,2,2,1,5,7,9.1,28
2014,12.86099861,7620,1180,1180,3204,1,4,1.75,0,4,7,7.8,55
2015,12.66032792,11455,1200,380,3039,1,3,1.75,0,4,7,7.9,74
2014,12.44901882,10170,1230,0,0,1,3,1,0,3,7,6.4,79
2014,13.44878528,4425,2460,0,0,2,4,2.5,1,3,8,7.3,106
2014,13.5670492,4400,1460,200,1538,1.5,3,1,1,3,8,7.4,11
2014,12.37581542,8470,1270,0,5167,1,3,1.75,0,4,7,7.8,60
2014,13.17115354,40510,1320,780,14409,2,3,2.25,1,3,10,8,79
2015,12.95984445,5040,770,0,0,1,2,1,0,3,5,6.3,30
2014,12.82098798,10079,760,0,828,1,1,0.75,0,5,5,8.2,36
2014,12.5776362,7280,1700,0,3739,2,4,2.5,1,4,7,7.8,88
2014,12.56024446,10701,1120,0,3681,1,3,1,0,3,7,7.2,54
2014,12.9360338,4500,1070,0,2518,1,2,1,0,3,7,6.7,37
2015,12.51539389,9900,1420,650,3461,1,3,2.5,0,3,8,7,79
2015,14.88022129,20100,4750,300,5833,1.5,4,3.25,1,3,11,8.6,82
2014,14.12666499,57346,5310,0,17024,2,4,4.75,1,4,11,9.3,89
2015,12.98539752,7538,1040,0,2020,1,2,1,0,4,7,8.2,39
2014,12.25486281,11390,1700,0,3183,1,3,1,0,4,7,7.6,67
2014,12.37158708,5898,1300,0,0,1,3,1,0,3,7,7,61
2014,12.70987365,1306,580,500,615,1,3,1.75,0,3,7,6.9,54
2015,12.80765263,4510,2653,0,500,2,3,2.5,1,3,8,7.1,106
2015,13.01700286,16258,2290,0,5235,1,3,2,0,5,8,9.3,60
2014,13.55414579,26300,2850,970,7153,2,4,2.75,1,3,9,7.8,114
2015,13.0280527,49375,2210,0,12478,1,4,2.5,0,3,8,7.5,97
2015,12.91164235,6000,1240,1150,994,1,3,1.75,0,3,6,6.9,8
2014,12.62773913,11325,1610,990,1296,1,4,1.75,0,4,7,7.7,69
2015,12.04355372,5265,860,0,3930,1,2,1,0,3,6,6.8,31
2015,14.53335035,8480,2630,1200,0,2,5,3,1,5,9,9.9,5
2014,13.5670492,7048,3500,0,2252,2,4,2.5,1,3,9,7.9,105
2015,12.70684793,13959,1740,680,961,1,3,3,0,4,8,8.2,88
2014,12.82125828,8666,2720,0,0,2,4,2.5,1,3,9,7.7,92
2014,13.05408454,13500,1850,650,4199,1,5,2.25,0,3,7,6.9,79
2015,12.91164235,6720,1140,530,1609,1,3,1.75,0,3,7,6.9,80
2014,13.42246797,10300,1450,1450,1498,1,5,2.25,0,3,8,7.6,85
2014,13.12236338,14100,1140,500,4368,1,2,1,0,4,7,7.9,54
2014,12.87389945,15770,1890,0,5324,2,4,2.5,1,4,7,7.7,68
2015,13.3534751,9025,1780,1170,0,1,4,1.75,0,4,8,8.4,75
2014,12.79385931,9528,2160,0,3878,2,4,2.5,1,3,9,7.4,92
2014,13.27078338,11060,2270,1010,1898,2,4,3,1,3,8,7.3,86
2014,13.21767356,4166,1270,700,1313,2,3,2,1,5,8,8.9,29
2014,13.68654018,22111,3360,0,4885,2,4,2.5,1,3,10,8.1,94
2014,12.4874851,8959,1320,0,1119,1,3,2,0,3,7,6.8,93
2015,13.00919468,7286,2650,0,1369,2,3,2.5,1,3,8,7.2,90
2014,12.90917016,8880,1330,700,0,1,3,1.5,0,3,7,7.2,63
2014,12.49687485,11914,1090,500,1170,1,3,1.75,0,3,7,6.8,57
2014,14.93881546,18641,2600,1950,4036,1,4,5,0,3,10,8.4,102
2014,12.72188581,7632,2440,0,3927,2,3,2.5,1,3,8,7.2,98
2014,13.26386294,9000,970,970,2624,1,3,2.5,0,4,7,7.9,48
2015,12.24833201,3810,2040,0,109,2,3,2.5,1,3,8,7,106
2015,12.66032792,8750,1120,1080,1349,1,3,2.25,0,4,7,7.9,64
2015,13.49392693,3300,960,960,153,1,3,1.75,0,4,8,8.1,13
2015,13.21767356,7750,1400,400,0,1,4,2.75,0,4,8,8.3,65
2014,13.32244299,7297,2180,0,1290,2,4,2.25,1,3,8,7.4,84
2015,13.21894548,5000,1010,0,1890,1.5,2,1,1,4,6,7.2,8
2015,13.40754232,10574,2220,1100,1830,2,4,2.75,1,5,8,9.3,60
2015,13.63398868,4000,1980,390,1528,1.5,4,2.5,1,5,8,9.2,28
2014,12.21106019,78408,1660,0,22424,1.5,5,1.75,1,3,6,6.4,15
2014,14.68429031,9050,3370,280,1278,2,5,2.5,1,5,10,9.9,21
2014,14.14048842,12103,2690,1600,0,1,4,3.25,0,3,11,8.5,97
2014,14.15198279,12103,2690,1600,2157,1,4,3.25,0,3,11,8.3,97
2014,12.62806706,7700,1350,600,430,1,4,2.25,0,3,8,7.4,79
2015,13.0960194,14052,1720,870,0,1,3,2,0,5,8,9.3,48
2015,12.87390202,64904,1930,0,22778,1,3,2.5,0,4,8,8.3,88
2014,13.21403057,3864,1170,300,2376,1,2,1,0,4,7,7.9,16
2014,12.50153686,8775,800,0,4731,1,4,1,0,3,6,6.5,43
2014,13.61693766,7119,3150,0,1045,2,5,2.75,1,3,9,7.8,113
2014,13.16158409,16200,2030,0,4747,2,3,2.25,1,3,8,7.4,84
2014,12.34583459,11204,1450,0,5243,1,3,2,0,3,7,7,103
2015,12.3883942,10248,1510,0,1072,1,3,1.75,0,3,7,6.8,69
2014,12.35449265,12092,960,280,3737,1,2,1,0,3,6,6.6,22
2015,12.39047537,12092,960,280,4527,1,2,1,0,3,6,6.4,22
2014,12.52443546,45004,3030,0,13385,2,3,2.5,1,3,9,7.8,87
2014,13.51440547,4400,2050,0,0,1.5,4,2,1,4,9,8.5,22
2015,12.13551605,7636,1000,0,2285,1,3,1,0,2,7,5.9,52
2014,13.57978822,10289,1590,780,0,1,3,2.25,0,4,9,8.6,77
2014,13.68767719,6750,1890,910,2166,2,4,3.5,1,3,9,7.7,51
2015,12.53896706,11180,2240,0,442,2,6,1.75,1,4,7,7.9,55
2014,12.59473064,10530,1810,0,129,1,3,2,0,3,8,7.3,91
2015,13.36922346,5000,1070,0,3907,1,2,1,0,3,7,7,24
2014,13.75363515,9525,2490,0,2045,2,4,2,1,5,9,9.4,68
2014,12.46843691,5238,1960,0,0,2,4,2.5,1,3,7,7,103
2014,13.23551348,5569,1860,1070,0,1,3,2.75,0,3,9,7.6,104
2014,13.58168516,3500,1510,0,0,1.5,4,2,1,5,7,8.8,11
2014,12.4874851,8250,1420,0,0,1,3,1.75,0,3,7,7.1,54
2015,12.40901349,11547,1740,0,1503,1,3,1.75,0,3,7,6.6,54
2015,13.09190417,43995,2560,0,12751,2,4,1.75,1,4,7,7.9,62
2014,13.4357132,8414,2420,620,2257,2,4,3.5,1,3,9,7.4,110
2014,12.95984445,6840,1300,1200,3875,1,3,1.75,0,3,8,7.1,57
2014,12.64303642,20000,1275,0,5465,1,4,1.75,0,4,6,7.4,91
2014,13.22175612,5823,2580,0,1195,2,4,2.5,1,3,8,7.4,102
2014,12.01370075,7134,1000,0,2725,1,4,1,0,3,6,6.7,43
2014,12.38797745,7134,1000,0,1405,1,4,1,0,3,6,6.8,43
2014,12.67607627,32633,1070,0,8553,1,2,1,0,4,6,7.7,30
2014,12.23853984,13464,1390,0,3551,1,3,2,0,4,7,7.6,87
2015,12.86617997,7690,1250,1250,1861,1,4,1.75,0,3,7,6.9,73
2014,12.60819885,12120,560,0,7728,1,1,0.75,0,3,4,6.1,67
2014,13.65885675,10460,2270,0,5945,2,4,2.75,1,3,9,7.6,65
2015,12.66032792,14400,1300,600,2805,1,3,1,0,4,7,7.9,54
2014,12.98883198,3120,790,200,2979,1,2,1,0,5,7,8.9,7
2015,12.43718437,19800,1050,500,4922,1,4,1.5,0,4,7,7.7,69
